model,env,N,D,seed,think,reasoning_effort,outcome,experiments,invalid_requests,total_calls,repeats,best_loss,final_regret,optimum_loss,claim_matches_best,elapsed_ms,cost_usd
gemini-3.1-flash-lite,A,214663680,100000000000,1,low,low,finished,11,0,11,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,15625,0.007072
gemini-3.1-flash-lite,A,214663680,100000000000,1,medium,medium,finished,11,0,11,0,2.34227,0.00025615828258196416,2.342013841717418,True,16069,0.009458
gemini-3.1-flash-lite,A,214663680,100000000000,1,off,off,finished,13,0,13,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,13209,0.004425
gemini-3.1-flash-lite,A,214663680,100000000000,10,low,low,finished,12,0,12,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,16290,0.007803
gemini-3.1-flash-lite,A,214663680,100000000000,10,medium,medium,finished,12,0,12,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,16483,0.010043
gemini-3.1-flash-lite,A,214663680,100000000000,10,off,off,finished,49,1,50,42,2.34364,0.0016261582825820575,2.342013841717418,True,49285,0.027327
gemini-3.1-flash-lite,A,214663680,100000000000,11,low,low,finished,17,0,17,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,18403,0.008953
gemini-3.1-flash-lite,A,214663680,100000000000,11,medium,medium,finished,13,0,13,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,17241,0.01076
gemini-3.1-flash-lite,A,214663680,100000000000,11,off,off,finished,13,0,13,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,13693,0.004419
gemini-3.1-flash-lite,A,214663680,100000000000,12,low,low,finished,19,0,19,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,22081,0.011423
gemini-3.1-flash-lite,A,214663680,100000000000,12,medium,medium,finished,15,0,15,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,21784,0.012352
gemini-3.1-flash-lite,A,214663680,100000000000,12,off,off,finished,49,1,50,40,2.34364,0.0016261582825820575,2.342013841717418,True,52738,0.027315
gemini-3.1-flash-lite,A,214663680,100000000000,13,low,low,finished,10,0,10,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,15327,0.006858
gemini-3.1-flash-lite,A,214663680,100000000000,13,medium,medium,finished,11,0,11,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,16135,0.007974
gemini-3.1-flash-lite,A,214663680,100000000000,13,off,off,finished,47,2,49,38,2.34364,0.0016261582825820575,2.342013841717418,True,51553,0.026747
gemini-3.1-flash-lite,A,214663680,100000000000,14,low,low,finished,11,0,11,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,14545,0.006897
gemini-3.1-flash-lite,A,214663680,100000000000,14,medium,medium,finished,13,0,13,3,2.34227,0.00025615828258196416,2.342013841717418,True,18649,0.011094
gemini-3.1-flash-lite,A,214663680,100000000000,14,off,off,finished,12,1,13,2,2.34227,0.00025615828258196416,2.342013841717418,True,14324,0.004479
gemini-3.1-flash-lite,A,214663680,100000000000,15,low,low,finished,13,1,14,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,16674,0.00825
gemini-3.1-flash-lite,A,214663680,100000000000,15,medium,medium,finished,10,0,10,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,14173,0.007501
gemini-3.1-flash-lite,A,214663680,100000000000,15,off,off,finished,48,1,49,37,2.34227,0.00025615828258196416,2.342013841717418,True,49805,0.027919
gemini-3.1-flash-lite,A,214663680,100000000000,2,low,low,finished,14,0,14,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,20020,0.009465
gemini-3.1-flash-lite,A,214663680,100000000000,2,medium,medium,finished,50,1,51,34,2.34201,-3.841717417962798e-06,2.342013841717418,True,51112,0.028186
gemini-3.1-flash-lite,A,214663680,100000000000,2,off,off,finished,49,1,50,40,2.34364,0.0016261582825820575,2.342013841717418,True,50443,0.027315
gemini-3.1-flash-lite,A,214663680,100000000000,3,low,low,finished,15,0,15,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,20435,0.010269
gemini-3.1-flash-lite,A,214663680,100000000000,3,medium,medium,finished,12,0,12,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,16612,0.009631
gemini-3.1-flash-lite,A,214663680,100000000000,3,off,off,finished,49,1,50,40,2.34364,0.0016261582825820575,2.342013841717418,True,48641,0.027289
gemini-3.1-flash-lite,A,214663680,100000000000,4,low,low,finished,12,0,12,0,2.34216,0.00014615828258168762,2.342013841717418,True,17971,0.007882
gemini-3.1-flash-lite,A,214663680,100000000000,4,medium,medium,finished,9,0,9,0,2.34364,0.0016261582825820575,2.342013841717418,True,12954,0.006906
gemini-3.1-flash-lite,A,214663680,100000000000,4,off,off,finished,13,0,13,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,13760,0.004425
gemini-3.1-flash-lite,A,214663680,100000000000,5,low,low,finished,8,0,8,0,2.34364,0.0016261582825820575,2.342013841717418,True,11972,0.005004
gemini-3.1-flash-lite,A,214663680,100000000000,5,medium,medium,finished,11,0,11,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,14962,0.008162
gemini-3.1-flash-lite,A,214663680,100000000000,5,off,off,finished,13,0,13,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,13011,0.004425
gemini-3.1-flash-lite,A,214663680,100000000000,6,low,low,finished,7,0,7,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,10208,0.003985
gemini-3.1-flash-lite,A,214663680,100000000000,6,medium,medium,finished,11,0,11,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,14658,0.007091
gemini-3.1-flash-lite,A,214663680,100000000000,6,off,off,finished,49,1,50,41,2.34364,0.0016261582825820575,2.342013841717418,True,49487,0.027315
gemini-3.1-flash-lite,A,214663680,100000000000,7,low,low,finished,8,1,9,0,2.34364,0.0016261582825820575,2.342013841717418,True,14046,0.00636
gemini-3.1-flash-lite,A,214663680,100000000000,7,medium,medium,finished,10,0,10,0,2.34227,0.00025615828258196416,2.342013841717418,True,14009,0.007218
gemini-3.1-flash-lite,A,214663680,100000000000,7,off,off,finished,47,2,49,36,2.34227,0.00025615828258196416,2.342013841717418,True,48294,0.026757
gemini-3.1-flash-lite,A,214663680,100000000000,8,low,low,finished,18,0,18,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,23255,0.014772
gemini-3.1-flash-lite,A,214663680,100000000000,8,medium,medium,finished,12,0,12,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,17028,0.009204
gemini-3.1-flash-lite,A,214663680,100000000000,8,off,off,stalled,6,0,6,0,2.34364,0.0016261582825820575,2.342013841717418,,361050,0.001462
gemini-3.1-flash-lite,A,214663680,100000000000,9,low,low,finished,14,0,14,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,19427,0.009611
gemini-3.1-flash-lite,A,214663680,100000000000,9,medium,medium,finished,12,0,12,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,15782,0.008988
gemini-3.1-flash-lite,A,214663680,100000000000,9,off,off,finished,47,2,49,37,2.34227,0.00025615828258196416,2.342013841717418,True,49694,0.026569
nemotron-3-nano:4b,A,214663680,100000000000,1,high,high,stalled,23,0,23,0,2.34364,0.0016261582825820575,2.342013841717418,,46118,0
nemotron-3-nano:4b,A,214663680,100000000000,1,low,low,stalled,14,1,15,1,2.34201,-3.841717417962798e-06,2.342013841717418,,36068,0
nemotron-3-nano:4b,A,214663680,100000000000,1,medium,medium,stalled,18,1,19,0,2.35041,0.008396158282582,2.342013841717418,,32029,0
nemotron-3-nano:4b,A,214663680,100000000000,1,off,none,finished,6,0,6,0,2.34636,0.004346158282581669,2.342013841717418,True,11024,0
nemotron-3-nano:4b,A,214663680,100000000000,10,high,high,stalled,23,0,23,0,2.34364,0.0016261582825820575,2.342013841717418,,44590,0
nemotron-3-nano:4b,A,214663680,100000000000,10,low,low,finished,10,3,13,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,22559,0
nemotron-3-nano:4b,A,214663680,100000000000,10,medium,medium,finished,14,0,14,0,2.35041,0.008396158282582,2.342013841717418,True,25342,0
nemotron-3-nano:4b,A,214663680,100000000000,10,off,none,finished,9,4,13,0,2.34378,0.0017661582825820865,2.342013841717418,True,20152,0
nemotron-3-nano:4b,A,214663680,100000000000,11,high,high,stalled,13,5,18,0,2.34216,0.00014615828258168762,2.342013841717418,,33258,0
nemotron-3-nano:4b,A,214663680,100000000000,11,low,low,finished,19,0,19,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,37190,0
nemotron-3-nano:4b,A,214663680,100000000000,11,medium,medium,finished,14,0,14,0,2.34364,0.0016261582825820575,2.342013841717418,True,23136,0
nemotron-3-nano:4b,A,214663680,100000000000,11,off,none,finished,8,1,9,0,2.3746,0.032586158282581934,2.342013841717418,True,10953,0
nemotron-3-nano:4b,A,214663680,100000000000,12,high,high,stalled,10,0,10,0,2.35041,0.008396158282582,2.342013841717418,,14203,0
nemotron-3-nano:4b,A,214663680,100000000000,12,low,low,finished,16,0,16,0,2.34364,0.0016261582825820575,2.342013841717418,False,24664,0
nemotron-3-nano:4b,A,214663680,100000000000,12,medium,medium,finished,10,1,11,0,2.38443,0.04241615828258194,2.342013841717418,True,20374,0
nemotron-3-nano:4b,A,214663680,100000000000,12,off,none,finished,8,0,8,0,2.3746,0.032586158282581934,2.342013841717418,False,8086,0
nemotron-3-nano:4b,A,214663680,100000000000,13,high,high,finished,18,0,18,0,2.34691,0.00489615828258172,2.342013841717418,True,32250,0
nemotron-3-nano:4b,A,214663680,100000000000,13,low,low,finished,8,0,8,0,2.3746,0.032586158282581934,2.342013841717418,True,14796,0
nemotron-3-nano:4b,A,214663680,100000000000,13,medium,medium,stalled,21,0,21,0,2.34364,0.0016261582825820575,2.342013841717418,,45635,0
nemotron-3-nano:4b,A,214663680,100000000000,13,off,none,finished,3,2,5,0,2.36766,0.025646158282581766,2.342013841717418,False,5065,0
nemotron-3-nano:4b,A,214663680,100000000000,14,high,high,stalled,2,0,2,0,2.36973,0.027716158282582004,2.342013841717418,,3681,0
nemotron-3-nano:4b,A,214663680,100000000000,14,low,low,stalled,17,0,17,0,2.34691,0.00489615828258172,2.342013841717418,,28507,0
nemotron-3-nano:4b,A,214663680,100000000000,14,medium,medium,finished,16,0,16,0,2.34364,0.0016261582825820575,2.342013841717418,True,26787,0
nemotron-3-nano:4b,A,214663680,100000000000,14,off,none,stalled,2,0,2,0,2.35908,0.017066158282581956,2.342013841717418,,4050,0
nemotron-3-nano:4b,A,214663680,100000000000,15,high,high,finished,18,0,18,0,2.34227,0.00025615828258196416,2.342013841717418,True,30926,0
nemotron-3-nano:4b,A,214663680,100000000000,15,low,low,finished,6,0,6,0,2.34546,0.0034461582825819903,2.342013841717418,True,10457,0
nemotron-3-nano:4b,A,214663680,100000000000,15,medium,medium,stalled,23,1,24,0,2.34227,0.00025615828258196416,2.342013841717418,,54316,0
nemotron-3-nano:4b,A,214663680,100000000000,15,off,none,stalled,9,0,9,0,2.34364,0.0016261582825820575,2.342013841717418,,19488,0
nemotron-3-nano:4b,A,214663680,100000000000,2,high,high,stalled,6,1,7,0,2.34364,0.0016261582825820575,2.342013841717418,,12119,0
nemotron-3-nano:4b,A,214663680,100000000000,2,low,low,stalled,19,5,24,0,2.34364,0.0016261582825820575,2.342013841717418,,483306,0
nemotron-3-nano:4b,A,214663680,100000000000,2,medium,medium,finished,10,0,10,0,2.36766,0.025646158282581766,2.342013841717418,True,16335,0
nemotron-3-nano:4b,A,214663680,100000000000,2,off,none,finished,5,0,5,0,2.36766,0.025646158282581766,2.342013841717418,True,7325,0
nemotron-3-nano:4b,A,214663680,100000000000,3,high,high,stalled,16,0,16,0,2.35131,0.009296158282581679,2.342013841717418,,35871,0
nemotron-3-nano:4b,A,214663680,100000000000,3,low,low,finished,19,0,19,0,2.34364,0.0016261582825820575,2.342013841717418,True,30535,0
nemotron-3-nano:4b,A,214663680,100000000000,3,medium,medium,finished,11,1,12,0,2.34364,0.0016261582825820575,2.342013841717418,True,22250,0
nemotron-3-nano:4b,A,214663680,100000000000,3,off,none,stalled,3,0,3,0,2.38443,0.04241615828258194,2.342013841717418,,3614,0
nemotron-3-nano:4b,A,214663680,100000000000,4,high,high,stalled,21,0,21,0,2.34364,0.0016261582825820575,2.342013841717418,,36388,0
nemotron-3-nano:4b,A,214663680,100000000000,4,low,low,stalled,21,3,24,0,2.34364,0.0016261582825820575,2.342013841717418,,60829,0
nemotron-3-nano:4b,A,214663680,100000000000,4,medium,medium,finished,9,1,10,0,2.34364,0.0016261582825820575,2.342013841717418,True,24663,0
nemotron-3-nano:4b,A,214663680,100000000000,4,off,none,stalled,1,0,1,0,2.41499,0.07297615828258186,2.342013841717418,,2223,0
nemotron-3-nano:4b,A,214663680,100000000000,5,high,high,finished,15,0,15,0,2.34364,0.0016261582825820575,2.342013841717418,True,27490,0
nemotron-3-nano:4b,A,214663680,100000000000,5,low,low,stalled,2,0,2,0,2.40141,0.05939615828258171,2.342013841717418,,3611,0
nemotron-3-nano:4b,A,214663680,100000000000,5,medium,medium,stalled,7,0,7,0,2.35561,0.013596158282581872,2.342013841717418,,16450,0
nemotron-3-nano:4b,A,214663680,100000000000,5,off,none,stalled,10,2,12,0,2.35178,0.009766158282582094,2.342013841717418,,14259,0
nemotron-3-nano:4b,A,214663680,100000000000,6,high,high,finished,18,1,19,0,2.34227,0.00025615828258196416,2.342013841717418,True,30083,0
nemotron-3-nano:4b,A,214663680,100000000000,6,low,low,stalled,13,1,14,0,2.34691,0.00489615828258172,2.342013841717418,,37463,0
nemotron-3-nano:4b,A,214663680,100000000000,6,medium,medium,finished,13,1,14,0,2.34227,0.00025615828258196416,2.342013841717418,True,26506,0
nemotron-3-nano:4b,A,214663680,100000000000,6,off,none,finished,9,1,10,0,2.35955,0.017536158282581926,2.342013841717418,True,10733,0
nemotron-3-nano:4b,A,214663680,100000000000,7,high,high,finished,18,1,19,0,2.34667,0.004656158282581924,2.342013841717418,True,36226,0
nemotron-3-nano:4b,A,214663680,100000000000,7,low,low,finished,17,0,17,0,2.34364,0.0016261582825820575,2.342013841717418,True,28697,0
nemotron-3-nano:4b,A,214663680,100000000000,7,medium,medium,stalled,4,0,4,0,2.36144,0.019426158282581873,2.342013841717418,,5947,0
nemotron-3-nano:4b,A,214663680,100000000000,7,off,none,stalled,1,0,1,0,2.41499,0.07297615828258186,2.342013841717418,,1799,0
nemotron-3-nano:4b,A,214663680,100000000000,8,high,high,finished,14,3,17,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,29217,0
nemotron-3-nano:4b,A,214663680,100000000000,8,low,low,finished,15,0,15,0,2.34227,0.00025615828258196416,2.342013841717418,True,30709,0
nemotron-3-nano:4b,A,214663680,100000000000,8,medium,medium,finished,11,0,11,0,2.34227,0.00025615828258196416,2.342013841717418,True,18818,0
nemotron-3-nano:4b,A,214663680,100000000000,8,off,none,finished,8,3,11,0,2.34216,0.00014615828258168762,2.342013841717418,False,11785,0
nemotron-3-nano:4b,A,214663680,100000000000,9,high,high,finished,11,5,16,0,2.34216,0.00014615828258168762,2.342013841717418,True,26701,0
nemotron-3-nano:4b,A,214663680,100000000000,9,low,low,finished,8,0,8,0,2.34201,-3.841717417962798e-06,2.342013841717418,True,14356,0
nemotron-3-nano:4b,A,214663680,100000000000,9,medium,medium,finished,18,2,20,1,2.34216,0.00014615828258168762,2.342013841717418,False,35560,0
nemotron-3-nano:4b,A,214663680,100000000000,9,off,none,stalled,3,0,3,0,2.36766,0.025646158282581766,2.342013841717418,,3130,0
